session_id,page,duration_sec,bounce,form_step_reached,element_clicked,timestamp_bucket,device
97932a27-c972-4153-93cf-ccbad6a86166,form,25,true,1,form_field_email,evening,mobile
6294874e-3e3c-419a-b3f7-becb02198b61,form,20,true,2,form_next_btn,evening,desktop
28f45172-6fe4-4ead-8000-fd34606c77ca,home,10,true,,logo,evening,tablet
77357919-451e-40ab-bd0e-9b49aee47f07,home,90,false,,footer_link,afternoon,desktop
68c5f880-4f01-40d5-a7a0-7414557870e7,confirm,8,true,,logo,evening,mobile
fe58757e-9d86-407a-99a0-120bbd184f1f,home,6,true,,,morning,mobile
ae98ab58-5c60-41fe-99eb-2a0c1b0e7bfc,confirm,47,false,,confirm_share_btn,afternoon,desktop
75800c7d-b1af-4daf-baf9-9611d501327d,about,201,false,,logo,evening,mobile
6c2021cd-a4cb-4883-b01a-1d2e750ad174,home,9,true,,,evening,tablet
681608ee-9972-46ac-87df-3ae0a65a0ed6,about,20,true,,logo,afternoon,mobile
7f37ca44-81d6-411d-b85c-814b2751e9c3,home,14,true,,logo,evening,mobile
80e16ae7-5f00-4ae8-a492-88b86f96aa3e,home,5,true,,,morning,desktop
1c32111c-8aa2-4f1a-adce-eea41f1d0463,form,23,true,2,form_next_btn,evening,mobile
fe57ef68-91c4-4124-b7f9-c027ee623243,about,16,true,,,morning,mobile
a59fb10c-e74c-4dce-886f-0295a443be09,confirm,8,true,,confirm_home_btn,afternoon,mobile
f37088b9-a123-4aee-ab96-3649943b12fe,home,12,true,,nav_about,afternoon,desktop
aafce34e-c548-4282-b9d5-65baf221aefe,form,433,false,2,form_submit,morning,tablet
e78258ce-6993-412b-ad5a-7016dbcdcb8e,home,6,true,,nav_about,evening,mobile
6fb0a968-8829-4ece-9cef-3434640e7e39,home,6,true,,nav_form,afternoon,desktop
bc35f203-0662-4de2-8ff6-e1213491ad21,about,19,true,,team_card,evening,mobile
cc1894cb-151d-48ef-b807-4716e0823fd1,about,134,false,,nav_home,evening,desktop
64a56642-bb46-4981-ba1c-fca2f50eb278,about,57,false,,team_card,afternoon,desktop
ed5d02f6-bd6c-45aa-ae26-f2bdf959b3f2,about,17,true,,,afternoon,mobile
78f2cf18-b2b3-446e-9081-ec25209eb39e,confirm,27,false,,confirm_home_btn,evening,tablet
5033caf6-27ce-4493-9989-fc84456f3695,home,8,true,,,afternoon,tablet
5e031a3c-bf39-4707-82bd-10e61c2538bf,confirm,34,false,,confirm_home_btn,afternoon,mobile
041b6aca-2b1c-49ea-84fa-aecd900f0acd,home,4,true,,nav_about,morning,mobile
416c12fe-7fa8-46b9-b302-7af5879539ce,home,13,true,,scroll_banner,morning,mobile
75800c7d-b1af-4daf-baf9-9611d501327d,form,109,false,1,form_cancel,evening,mobile
12eb4a17-7ab2-4249-8512-d9d121ad2774,confirm,10,true,,confirm_share_btn,afternoon,mobile
2e84d58c-e4d3-4fc8-bc9a-8dd251bd8d25,home,11,true,,nav_about,evening,desktop
4c0262aa-f45f-406e-96eb-9ad621e4d207,confirm,58,false,,logo,afternoon,tablet
9143c757-497e-4ff2-9c2c-6ddfd912747a,form,471,false,3,form_next_btn,morning,desktop
fa9969f0-c8a3-4d3b-b3d5-a1096ed940a8,confirm,7,true,,,afternoon,mobile
5be0e3fa-7394-4056-8d57-62dd7885bdc5,confirm,18,false,,,afternoon,desktop
720cb21e-e0c3-440f-abce-923a559b3ccb,home,9,true,,nav_about,afternoon,mobile
e2b321fb-4dc0-48fc-8e67-56d9eb2f0f42,confirm,59,false,,logo,afternoon,mobile
9304b98d-ac50-4ad3-b79f-f07200bfb4e7,confirm,46,false,,confirm_share_btn,afternoon,desktop
3d29a7f1-7c85-425b-a3e8-0048f96eae28,home,5,true,,nav_about,afternoon,mobile
cf778f63-b61e-4d8b-bcb6-d458ece0999f,form,24,true,,form_next_btn,afternoon,desktop
9439730c-955d-4b64-a782-15194d4d0dd4,form,312,false,3,form_field_name,morning,tablet
fc8fbb67-3402-4c26-9af6-2fcd8614dc6a,home,7,true,,,evening,tablet
15e97fa7-26f7-4ae2-a388-443c4a9d1027,about,16,true,,footer_link,morning,mobile
43b67dd8-a336-4026-ac17-255b78fcd3d2,home,12,true,,scroll_banner,afternoon,tablet
c6b3de20-6b68-48b0-b9e8-22c1a588c535,home,8,true,,,afternoon,tablet
5604f2a8-cedb-4f80-bf59-325dd4764686,form,19,true,3,form_field_email,evening,mobile
15a40f69-5a6b-44bc-a8cb-160a2f2c4a0c,home,8,true,,nav_about,afternoon,mobile
2f3f3fb0-2896-461b-8905-7a50c03314ad,home,10,true,,,evening,mobile
33cb618a-9ea1-4cdd-9a94-438f53822ef0,home,12,true,,scroll_banner,evening,tablet
be3aec07-8580-4756-9119-7102bdc96451,about,18,true,,logo,afternoon,tablet
d637dfbe-ec2c-4b98-87c3-2f37733b3bb6,home,5,true,,nav_about,evening,mobile
ba3a56da-6a3c-43ea-bdda-d03f102fc03d,home,8,true,,nav_about,morning,mobile
012ac283-7206-4b33-ba1f-ab05b16db135,about,9,true,,footer_link,afternoon,desktop
1fbc3867-4704-44a8-9169-02423b6ea2ca,about,20,true,,nav_home,afternoon,desktop
af363174-44f6-4523-93aa-d2a1c1b00349,home,5,true,,nav_form,afternoon,tablet
897f21f5-739d-4998-969a-1a7fe4db7bc2,form,390,false,4,form_submit,afternoon,mobile
c05a7742-d4cc-4f7e-9f43-1b8347b1a9a0,confirm,10,false,,confirm_home_btn,evening,mobile
229a7ddf-5817-4344-801b-c993bcd3b5d6,form,423,false,,form_cancel,morning,mobile
96105e75-40b9-44f3-bc10-a376fe49036b,confirm,67,false,,logo,afternoon,desktop
